condition,clickStatus,targetH,targetS,targetL,distr1H,distr1S,distr1L,distr2H,distr2S,distr2L,allSpeakerContents
close,distr2,226,81,50,283,87,50,248,92,50,The darker blue one
far,target,249,25,50,129,66,50,54,53,50,purple
close,distr2,301,57,50,302,86,50,291,59,50,Medium pink / the medium dark one
split,distr1,87,66,50,85,21,50,299,29,50,lime
far,target,156,84,50,57,64,50,239,87,50,Mint green.
far,target,40,7,50,288,10,50,58,62,50,Mud brown
split,target,82,9,50,139,23,50,295,80,50,Mud brown
split,target,108,16,50,153,12,50,78,99,50,Camo green
split,target,5,45,50,20,72,50,185,63,50,Darkish red
far,target,215,13,50,164,81,50,92,84,50,Grey
far,target,229,31,50,172,65,50,347,52,50,Purple
close,target,116,59,50,140,86,50,160,77,50,"Darkest shade of green, forest green"
split,target,76,15,50,18,4,50,285,51,50,"One of the brown ones, the lighter shaded one"
split,target,311,17,50,285,18,50,113,59,50,The more vibrantly red one... not the more purple one
far,target,209,44,50,264,61,50,85,74,50,blue
far,target,210,95,50,192,50,50,45,48,50,Plain blue
far,target,50,48,50,289,9,50,176,62,50,Yellowish brownish orangish yellow / lol
split,target,116,8,50,104,35,50,304,75,50,Like that description? Haha / Thank you. / Grey
split,target,113,21,50,145,34,50,354,41,50,Camo green
close,target,264,1,50,200,11,50,236,11,50,Brown
close,distr2,326,78,50,343,28,50,315,71,50,Neon pink
split,target,93,2,50,10,5,50,42,99,50,oopsies. I think they're both a bit neon / the greyish one that's not the browner one
split,target,25,17,50,68,0,50,312,48,50,Brown
split,target,120,39,50,131,81,50,179,65,50,forest green
close,target,84,4,50,39,17,50,81,16,50,greyest one
close,target,332,43,50,307,61,50,189,5,50,darker red
close,target,350,88,50,355,23,50,19,34,50,red
close,target,299,44,50,328,78,50,297,84,50,"purple, darker one"
split,target,14,70,50,21,34,50,302,57,50,orange
split,target,93,60,50,85,86,50,351,41,50,dark green
far,target,336,6,50,90,55,50,166,67,50,grey
split,distr1,162,51,50,93,14,50,299,80,50,green
close,target,46,38,50,44,62,50,32,35,50,"brown. not the yellow one or classic brown one, the weirder one"
close,distr2,290,26,50,303,50,50,263,39,50,Hahaha. Me too. This one is purple. Not neon and not lavender
far,target,6,92,50,289,48,50,125,26,50,Red
split,target,83,70,50,116,57,50,186,80,50,"Lime green, not forest green"
split,target,210,34,50,276,1,50,116,17,50,blue
close,target,20,10,50,243,5,50,337,19,50,light brown
far,target,27,28,50,163,98,50,131,12,50,brown
close,target,241,57,50,267,52,50,279,77,50,blue
close,distr2,171,42,50,188,15,50,178,31,50,lightest shade of teal/blue/green
far,target,245,82,50,246,8,50,317,61,50,blue
far,target,159,24,50,262,5,50,149,78,50,dark yucky green
far,target,185,8,50,82,94,50,278,73,50,grey
far,target,167,10,50,131,98,50,348,99,50,grey
far,target,18,84,50,193,25,50,142,51,50,red
close,target,149,48,50,142,95,50,166,77,50,dark green
close,target,121,24,50,87,10,50,100,28,50,not camo and not brown
far,target,63,62,50,18,98,50,161,2,50,YELLOW!!!!
split,target,105,56,50,71,67,50,227,79,50,"select the bright green, not the olive"
far,target,116,35,50,65,75,50,327,31,50,green
far,target,8,61,50,285,65,50,109,65,50,red
far,target,52,3,50,319,71,50,209,73,50,grey
close,target,21,33,50,350,25,50,20,10,50,brownish-cream; not grey or pinkish
far,target,228,30,50,322,98,50,179,12,50,blue
close,target,298,0,50,227,21,50,348,12,50,grey (you're doing great)
close,target,164,84,50,108,54,50,120,40,50,teal (not the two that are more green)
split,target,51,33,50,72,49,50,335,41,50,brownish
close,target,90,54,50,74,23,50,95,26,50,the bright green
far,target,47,39,50,231,3,50,320,24,50,brownish
far,target,14,53,50,138,67,50,53,15,50,reddish
close,target,316,3,50,253,16,50,215,31,50,grey
split,target,214,20,50,181,20,50,168,84,50,dark blue
split,target,254,40,50,221,60,50,134,39,50,purple
split,target,337,59,50,317,67,50,43,43,50,dark pink; not bright pink
close,target,138,55,50,83,27,50,162,35,50,brightest green
close,target,101,80,50,138,71,50,96,57,50,brightest green
close,target,276,73,50,292,45,50,316,81,50,"dark purple (good job on the last two, by the way)"
split,target,6,68,50,348,63,50,33,74,50,"dark orange (not the red, and not the lighter orange)"
split,target,285,30,50,298,56,50,163,96,50,purple; not pink or teal (good on the last one)
